ExchangeId,Effectivedate,Symbol,Open,High,Low,Close,Volume
NSE,30-04-2018,RELIANCE,982,992.6,960,963.3,8871802
NSE,02-05-2018,RELIANCE,967,979.2,965.05,972.7,6117761
NSE,03-05-2018,RELIANCE,977.9,977.9,959.25,961.6,3947546
NSE,04-05-2018,RELIANCE,962.85,964.7,950,953.95,3795692
NSE,07-05-2018,RELIANCE,958.85,973.25,956.35,971,3512532
NSE,08-05-2018,RELIANCE,977.5,982,965.2,967.1,4934036
NSE,09-05-2018,RELIANCE,965.9,984.3,962.25,976.7,4494423
NSE,10-05-2018,RELIANCE,980,984.6,974.25,981.15,4014645
NSE,11-05-2018,RELIANCE,981.25,991.3,977.75,989.25,4011516
NSE,14-05-2018,RELIANCE,991.95,991.95,976.7,986.6,2579561
NSE,15-05-2018,RELIANCE,983.05,1000,976.65,978.95,4800923
NSE,16-05-2018,RELIANCE,974,974,952.45,956.15,8613363
NSE,17-05-2018,RELIANCE,959.35,960,941.5,945.35,4733477
NSE,18-05-2018,RELIANCE,945.6,953.5,932,933.85,5230037
NSE,21-05-2018,RELIANCE,930.75,935.7,922.1,931.35,6624893
NSE,22-05-2018,RELIANCE,933.15,934,925,926.75,5170585
NSE,23-05-2018,RELIANCE,926,926,909.15,912.25,4567562
NSE,24-05-2018,RELIANCE,914,921,910.15,915.85,5317983
NSE,25-05-2018,RELIANCE,916,923.4,914.45,920.8,8129520
NSE,28-05-2018,RELIANCE,924.9,927,918.1,920.4,5197835
NSE,29-05-2018,RELIANCE,921.5,928,914.4,917.45,8173396
NSE,30-05-2018,RELIANCE,914.85,923.2,906.6,916.1,5991222
NSE,31-05-2018,RELIANCE,921,922.3,914.55,921.35,16951801
NSE,01-06-2018,RELIANCE,920,935.75,918.45,930.55,8765835
NSE,04-06-2018,RELIANCE,933.4,944,930.55,940.85,5600357
NSE,05-06-2018,RELIANCE,942.8,955,941,947.65,7971524
NSE,06-06-2018,RELIANCE,947,956,942.65,954.4,4189483
NSE,07-06-2018,RELIANCE,954.9,976,954.45,971.35,6857300
NSE,08-06-2018,RELIANCE,966.35,986.55,960.6,984.35,6532599
NSE,11-06-2018,RELIANCE,987.1,999.95,979.05,982.65,6866053
NSE,12-06-2018,RELIANCE,983.4,1000,980.3,997.15,7445221
NSE,13-06-2018,RELIANCE,1000,1005.9,989.5,1002.5,5926020
NSE,14-06-2018,RELIANCE,997.45,1011.8,987.4,1007.95,5484867
NSE,15-06-2018,RELIANCE,1006,1023.5,999.25,1014.2,11294702
NSE,18-06-2018,RELIANCE,1008.8,1020.45,1007,1015.55,5652374
NSE,19-06-2018,RELIANCE,1013.9,1014.8,993.65,996.05,6346101
